brand_name,canonical_brand_name,metric_name,workbook_value,reference_value,absolute_error,relative_error,source_type,source_name,source_locator,as_of_date,method_reported_or_estimated,confidence_score,provenance_grade,publish_status_candidate,selected_source_tier,primary_source_status,scope_notes
Popeyes,Popeyes,store_count,3700.0,,,,,,,,,,,blocked,missing,no_primary_source,
Popeyes,Popeyes,system_sales,6.1,,,,,,,,,,,blocked,missing,no_primary_source,
Raising Cane's,Raising Cane's,auv,6200.0,6560.0,360.0,0.054878048780487805,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Raising Cane's,Raising Cane's,store_count,870.0,828.0,42.0,0.050724637681159424,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Raising Cane's,Raising Cane's,system_sales,5.0,4.96,0.040000000000000036,0.008064516129032265,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Shake Shack,Shake Shack,auv,4000.0,3900.0,100.0,0.02564102564102564,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,blocked,secondary_fallback,no_primary_source,
Shake Shack,Shake Shack,store_count,659.0,373.0,286.0,0.7667560321715817,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,blocked,secondary_fallback,no_primary_source,
Shake Shack,Shake Shack,system_sales,1.45,1.351,0.09899999999999998,0.07327905255366393,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,blocked,secondary_fallback,scope_mismatch,Not directly comparable to workbook system_sales because the disclosure is licensed-inclusive system-wide sales rather than a clean U.S. brand sales figure
Sonic Drive-In,Sonic Drive-In,auv,1600.0,,,,,,,,,,,blocked,missing,no_primary_source,
Sonic Drive-In,Sonic Drive-In,store_count,3500.0,,,,,,,,,,,blocked,missing,no_primary_source,
